X,Y
34,102
35,99
32,91
14,135
5,156
2,165
2,169
4,164
6,151
17,134
23,123
26,116
30,103
17,147
16,153
15,152
18,146
21,141
27,137
32,120
35,123
476,196
30,135
22,148
20,151
20,149
23,154
26,150
34,138
39,134
46,136
61,140
69,147
69,147
80,152
92,160
105,168
120,173
149,180
162,179
174,176
189,166
190,164
187,164
184,158
177,152
177,152
172,151
178,167
180,168
184,170
188,165
192,165
197,166
199,164
201,158
200,151
200,155
194,157
191,154
187,153
184,152
182,153
181,154
179,152
181,149
180,149
184,145
187,147
191,145
195,144
199,144
200,144
206,148
226,162
251,187
267,210
296,237
325,261
350,286
366,310
377,327
380,327
372,312
354,288
328,259
298,229
266,199
236,170
210,144
185,120
167,104
162,104
171,118
209,180
241,213
241,213
305,271
364,333
402,385
424,422
442,438
449,427
447,396
431,352
397,304
293,198
243,155
203,121
171,96
148,79
148,79
143,79
148,100
161,133
240,223
420,430
302,212
268,183
217,160
212,169
219,189
241,219
323,304
369,353
402,391
428,416
451,425
461,421
461,421
449,380
432,346
405,313
369,276
334,247
303,226
279,213
265,210
259,217
263,230
278,252
302,280
335,310
365,339
393,366
415,383
430,390
439,388
441,376
437,360
423,337
406,312
382,287
359,265
339,248
324,238
315,233
314,239
321,249
338,265
361,289
388,313
417,337
439,357
453,369
459,373
458,368
448,359
433,344
413,329
392,313
372,297
353,284
336,276
326,271
319,270
315,273
318,279
326,291
341,304
357,317
374,330
390,341
403,347
409,351
410,349
404,343
397,336
385,325
373,313
361,304
351,296
337,292
328,294
322,297
318,304
310,326
303,354
295,384
289,415
286,446
282,469
277,490
280,488
294,468
294,468
314,427
329,381
377,225
390,203
191,637
191,637
190,637
191,637
191,637
191,637
191,636
191,637
191,637
191,637
191,637
191,636
191,636
191,637
191,637
190,637
190,637
191,637
191,637
191,637
191,637
191,637
191,637
241,578
191,636
191,636
191,637
147,436
191,637
191,636
147,434
191,637
191,637
191,636
191,637
191,636
191,637
191,636
191,637
191,637
191,636
191,637
191,636
